,,Acciones,,,,,,Criterios,,,,,,,Riesgos  socio-hidrológicos
,,Acción colectiva,Captación de agua,Compra de agua,Modificación vivienda,Movilizaciones,Contaminación de agua,Crecimiento urbano,Desperdicio de agua,Eficacia del servicio,Infraestructura insuficiente,Obstrucción de alcantarillado,Escasez de agua,Inundaciones,Salud
Acciones,Accion colectiva,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007,0.023007
,Captacion de agua,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974,0.003974
,Compra de agua,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815,0.200815
,Modificacion vivienda,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406,0.036406
,Movilizaciones,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151,0.021151
Criterios,Contaminacion de agua,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611,0.150611
,Crecimiento urbano,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253
,Desperdicio de agua,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235,0.00235
,Eficacia del servicio,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661,0.085661
,Infraestructura insuficiente,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Obstruccion de alcantarillado,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465,0.045465
Riesgos  socio-hidrológicos,Escasez de agua,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784,0.21784
,Inundaciones,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513,0.067513
,Salud,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676,0.142676
