,,Acciones,,,,,,Criterios,,,,,,,Riesgos  socio-hidrológicos
,,Acción colectiva,Captación de agua,Compra de agua,Modificación vivienda,Movilizaciones,Contaminación de agua,Crecimiento urbano,Desperdicio de agua,Eficacia del servicio,Infraestructura insuficiente,Obstrucción de alcantarillado,Escasez de agua,Inundaciones,Salud
Acciones,Accion colectiva,0,0,0,0,0,0,0,0,0,0,0,0.054,0.166535,0
,Captacion de agua,0,0,0,0,0,0,0,0,0,0,0,0.018243,0,0
,Compra de agua,0,0,0,0,0,0,0,0,0,0,0,0.266885,0,1
,Modificacion vivienda,0,0,0,0,0,0,0,0,0,0,0,0.078867,0.28477,0
,Movilizaciones,0,0,0,0,0,0,0,0,0,0,0,0.082004,0.048695,0
Criterios,Contaminacion de agua,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0
,Crecimiento urbano,0,0,0,0.069488,0,0,0,0,0,0,0,0,0,0
,Desperdicio de agua,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0
,Eficacia del servicio,0,1,0.25,0.348363,0.888889,0,0,0,0,0,0,0,0,0
,Infraestructura insuficiente,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Obstruccion de alcantarillado,1,0,0,0.582149,0,0,0.5,0,0,0,0,0,0,0
Riesgos  socio-hidrológicos,Escasez de agua,0,0,0,0,0,1,0.25,1,0.75,0,0,0,0,0
,Inundaciones,0,0,0,0,0,0,0.25,0,0.25,1,1,0,0,0
,Salud,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
