,,Clima,,,,Demandas institucionales,,,Drenaje y saneamiento,,,,Económico,,,Gestión,,Infraestructura,,,,Infraestructura Verde,,,PAI,,,Riesgos socio-hidrológicos,,,,Texcoco,,,Trasvase
,,Cambio climático,Lluvias atípicas,Sequía prolongadas,Organismos operadores,Prioridades federales,Construcción,Mantenimiento,Plantas tratamiento,Costo,Financiamiento,Asignación bloques agua,Capacidad,Carencia,Edad,Gaviones,Pozos,Construcción PAI,Mantenimiento PAI,Escasez de agua,Inundación,Salud,Re uso,Reforestación,Construcción trasvase,Mantenimiento Cutzamala,,,,,,,,,
Clima,Cambio climático,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,Lluvias atípicas,0.024877,0.024877,0,0.024877,0.024877,0,0,0,0.024877,0,0.024877,0.024877,0.024877,0.024877,0,0,0,0,0.024877,0.024877,0.024877,0.024877,0.024877,0,0,,,,,,,,,
,Sequía prolongadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Demandas institucionales,Organismos operadores,0.007989,0.007989,0,0.007989,0.007989,0,0,0,0.007989,0,0.007989,0.007989,0.007989,0.007989,0,0,0,0,0.007989,0.007989,0.007989,0.007989,0.007989,0,0,,,,,,,,,
,Prioridades federales,0.051657,0.051657,0,0.051657,0.051657,0,0,0,0.051657,0,0.051657,0.051657,0.051657,0.051657,0,0,0,0,0.051657,0.051657,0.051657,0.051657,0.051657,0,0,,,,,,,,,
Drenaje y saneamiento,Construcción,0.04205,0.04205,0,0.04205,0.04205,0,0,0,0.04205,0,0.04205,0.04205,0.04205,0.04205,0,0,0,0,0.04205,0.04205,0.04205,0.04205,0.04205,0,0,,,,,,,,,
,Mantenimiento,0.027154,0.027154,0,0.027154,0.027154,0,0,0,0.027154,0,0.027154,0.027154,0.027154,0.027154,0,0,0,0,0.027154,0.027154,0.027154,0.027154,0.027154,0,0,,,,,,,,,
,Plantas tratamiento,0.020083,0.020083,0,0.020083,0.020083,0,0,0,0.020083,0,0.020083,0.020083,0.020083,0.020083,0,0,0,0,0.020083,0.020083,0.020083,0.020083,0.020083,0,0,,,,,,,,,
Económico,Costo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,Financiamiento,0.01673,0.01673,0,0.01673,0.01673,0,0,0,0.01673,0,0.01673,0.01673,0.01673,0.01673,0,0,0,0,0.01673,0.01673,0.01673,0.01673,0.01673,0,0,,,,,,,,,
